Name,Latitude,Longitude,Polygon Number
Gelateria Baires 1997,45.038,7.6396,N/A
Arte & Pizza,45.6364,8.7668,N/A
Ichiban Ramen Padova,45.4032,11.8794,8
Le Campane,45.4439,12.3282,N/A
Aldo e Maria Ristorante Pizzeria d'autore,45.7375,9.7381,N/A
La Base,45.5711,9.5157,N/A
Ristorante Pizzeria Il Ristoro,45.8065,12.3463,N/A
Pizzeria Trattoria La Strega,45.3371,10.9206,N/A
Ristorante Pizzeria Santo Stefano 4,45.6803,8.822,N/A
Da Tituta,45.6065,12.8746,N/A
El Tocororo,45.3468,9.7217,N/A
Yuki Sushi,45.7651,12.8274,N/A
Pizzeria Santa Lucia - Spaghetti House,45.653,12.2422,N/A
Trattoria da Marte,45.0413,10.9284,N/A
Ristorante Pizzeria Waikiki,45.0579,6.6822,N/A
Pizzeria Da Lino,45.8519,12.0253,N/A
La Perla Sas,46.1115,12.898,N/A
Ristorante pizzeria La vecchia stalla,44.3912,8.66,N/A
Pizzeria La Ghironda,45.8718,8.9072,N/A
Ristorante Pizzeria Al Faro,46.0369,11.2437,N/A
Capri,45.5062,12.6434,N/A
Pizzeria napoletana da Tony,45.5123,9.2679,N/A
Pizza Ok 2,45.47,9.1535,1
Ristorante Sushi Kami,45.4705,7.924,N/A
Rock Burger® Torino,45.0678,7.6955,N/A
Ristorante Pizzeria Montecarlo,45.6073,8.9142,N/A
PuraBrace-GrillHouse Vedano al Lambro,45.619,9.2706,N/A
Ristorante Oasi,44.6964,10.6075,N/A
Pizzeria Damino,45.7738,8.5682,N/A
Pizzeria Ristorante La Piota,46.17,9.4356,N/A
Al Messicano,45.5586,12.263,N/A
La Smorfia,44.6492,10.9264,N/A
Ristorante Pizzeria - All' Antica Segheria,46.1701,10.7648,N/A
Sushi One Superior Desenzano,45.4651,10.5518,N/A
Pasticceria Gambasin,45.8361,11.8538,N/A
Pizzeria Blu Notte Snc Dei F.lli Gherri Enrico e Mirella| Correggio| Reggio Emilia,44.7337,10.7545,N/A
Ines Stube,45.7467,9.2695,N/A
Balobino Lendinara,45.0878,11.6036,N/A
San Michele Ristopizza,45.5806,9.5556,N/A
Jubin Due - Ristorante Cinese,45.4876,9.2184,N/A
MEI SHI MEI KE,45.0774,7.6673,N/A
Manuè Ristorante Pizzeria e Friggitoria,45.6997,9.7378,N/A
Ginzo - Creative Taste Padova,45.4101,11.9024,8
Pizzeria Linus Brescia,45.5183,10.2245,N/A
Pizzeria Il Giglio,45.408,10.8515,N/A
Il CHIOSCO - Sosta e Shop - Sequals,46.1417,12.858,N/A
Pizzeria Giuliana,45.7258,11.6751,N/A
Pasticceria Passoni,45.9448,9.4681,N/A
Burggräfler,46.6901,11.1556,N/A
Gelateria Antica Torre,45.8009,8.3875,N/A
The Temple Bar,45.0268,9.1588,N/A
Creo Bakery Cafè,44.7606,10.4485,N/A
Yang Asian Restaurant - Costa Volpino,45.8275,10.1073,N/A
"Ristorante-Pizzeria ""Del Brenta""",46.1517,10.9608,N/A
Restaurant Pizzeria Würstlhof,46.4546,11.3354,N/A
Preziosilla,45.5932,10.3121,N/A
Ristorante Delfino,45.4009,9.9286,N/A
DOPOLAVORO,45.5269,9.5258,N/A
Panin Onto & Bira Bona,45.4939,12.1101,N/A
Ristorante OKAI,45.6951,9.6669,N/A
Ristorante Pizzeria Bar Lido,46.0379,8.7345,N/A
Pizzeria Al Greco,46.4103,12.8057,N/A
Pizzeria da Pietrino,44.7079,8.8882,N/A
La Fossa Romea,44.982,8.8751,N/A
Pizzeria Cusinot,45.0523,7.3015,N/A
Pizzeria Ristorante Da Arnold's,46.6949,11.9393,N/A
B+ Cafè,44.4909,11.2381,4
Excalibur Ristorante Pizzeria,45.3329,10.0836,N/A
Ristorante Il Lupo,44.9078,9.815,N/A
Antico Forno,45.4382,12.3336,N/A
Pizzeria Ristorante Nuovo Ronche,45.7643,12.5333,N/A
